stationCode,stationName,stationEName,name,ename,stationAddrTw,stationAddrEn,stationTel,gps,haveBike
1205,九讚頭,Jiuzantou,九讚頭,Jiuzantou,新竹縣橫山鄉大肚村中豐路二段 286 巷 29 號,"No. 29, Ln. 286, Sec. 2, Zhongfeng Rd., Hengshan Township, Hsinchu County",03-5962042,24.72062 121.13622,N
1206,合興,Hexing,合興,Hexing,新竹縣橫山鄉力行村中山街一段 17 號,"No. 17, Sec. 1, Zhongshan St., Hengshan Township, Hsinchu County",03-5962042,24.71667 121.15437,N
1207,富貴,Fugui,富貴,Fugui,新竹縣橫山鄉豐田村中山街一段 (無站房),"Sec. 1, Zhongshan St. (No Station Building), Hengshan Township, Hsinchu County",03-5962042,24.7155 121.16743,N
1208,內灣,Neiwan,內灣,Neiwan,新竹縣橫山鄉內灣村中正路 6 號,"No. 6, Zhongzheng Rd., Hengshan Township, Hsinchu County",03-5962042,24.70535 121.18255,N
1210,新竹,Hsinchu,新竹,Hsinchu,新竹市 東區榮光里中華路二段 445 號,"No. 445, Sec. 2, Zhonghua Rd.,  , Hsinchu City",03-5237441,24.80164 120.97155,Y
1220,三姓橋,Sanxingqiao,三姓橋,Sanxingqiao,新竹市 香山區香山里元培街 32 巷 30 號,"No. 30, Ln. 32, Yuanpei St.,  , Hsinchu City",03-5237441,24.78731 120.92844,Y
1230,香山,Xiangshan,香山,Xiangshan,新竹市 香山區朝山里中華路五段 347 巷 2 弄 27 號,"No. 27, Aly. 2, Ln. 347, Sec. 5, Zhonghua Rd.,  , Hsinchu City",03-5237441,24.76311 120.91388,Y
1240,崎頂,Qiding,崎頂,Qiding,苗栗縣竹南鎮崎頂里北戶 55 號,"No. 55, Beihu, Zhunan Township, Miaoli County",037-472030,24.72291 120.87183,N
1250,竹南,Zhunan,竹南,Zhunan,苗栗縣竹南鎮竹南里中山路 166 號,"No. 166, Zhongshan Rd., Zhunan Township, Miaoli County",037-472030,24.68657 120.88029,Y
2110,談文,Tanwen,談文,Tanwen,苗栗縣造橋鄉談文村仁愛路 29 號,"No. 29, Ren’ai Rd., Zaoqiao Township, Miaoli County",037-472030,24.65641 120.85825,N
2120,大山,Dashan,大山,Dashan,苗栗縣後龍鎮大山里明山路 180 號,"No. 180, Mingshan Rd., Houlong Township, Miaoli County",037-431208,24.64565 120.80376,N
2130,後龍,Houlong,後龍,Houlong,苗栗縣後龍鎮北龍里車站街 127-2 號,"No. 127, Chezhan St., Houlong Township, Miaoli County",037-728616,24.61621 120.78731,Y
2140,龍港,Longgang,龍港,Longgang,苗栗縣後龍鎮龍京里公司寮 85 號,"No. 85, Gongsiliao, Houlong Township, Miaoli County",037-728616,24.61169 120.75812,N
2150,白沙屯,Baishatun,白沙屯,Baishatun,苗栗縣通霄鎮白西里白西 131 號,"No. 131, Baixi, Tongxiao Township, Miaoli County",037-793066,24.56481 120.70824,Y
2160,新埔,Xinpu,新埔,Xinpu,苗栗縣通霄鎮新埔里新埔 57 號,"No. 57, Xinpu, Tongxiao Township, Miaoli County",037-793066,24.54018 120.69518,N
2170,通霄,Tongxiao,通霄,Tongxiao,苗栗縣通霄鎮通西里中正路 109 號,"No. 109, Zhongzhen Rd., Tongxiao Township, Miaoli County",037-758300,24.49141 120.67843,Y
2180,苑裡,Yuanli,苑裡,Yuanli,苗栗縣苑裡鎮苑北里中山路 165 號,"No. 165, Zhongshan Rd., Yuanli Township, Miaoli County",037-851013,24.44344 120.65146,Y
2190,日南,Rinan,日南,Rinan,臺中市大甲區孟春里中山路二段 140 巷 8 號,"No. 8, Ln. 140, Sec. 2, Zhongshan Rd., Dajia Dist., Taichung City",04-26816113,24.37825 120.6541,Y
2200,大甲,Dajia,大甲,Dajia,臺中市大甲區大甲里中山路一段 828 號,"No. 828, Sec. 1, Zhongshan Rd., Dajia Dist., Taichung City",04-26872022,24.34448 120.62702,Y
2210,臺中港,Taichung Port,臺中港,Taichung Port,臺中市清水區頂湳里甲南路 2 號,"No. 2, Jianan Rd., Qingshui Dist., Taichung City",04-26225374,24.30441 120.60231,N
2220,清水,Qingshui,清水,Qingshui,臺中市清水區南社里中正街 115 號,"No. 115, Zhongzheng St., Qingshui Dist., Taichung City",04-26222021,24.26364 120.56918,Y
2230,沙鹿,Shalu,沙鹿,Shalu,臺中市沙鹿區沙鹿里中正街 94 號,"No. 94, Zhongzheng St., Shalu Dist., Taichung City",04-26625057,24.23702 120.55752,Y
2240,龍井,Longjing,龍井,Longjing,臺中市龍井區龍泉里龍新路 1 號,"No. 1, Longxin Rd., Longjing Dist., Taichung City",04-26355578,24.19748 120.54335,Y
2250,大肚,Dadu,大肚,Dadu,臺中市大肚區頂街里平和街 121 號,"No. 121, Pinghe St., Dadu Dist., Taichung City",04-26992523,24.15417 120.54249,Y
2260,追分,Zhuifen,追分,Zhuifen,臺中市大肚區王田里追分街 13 號,"No. 13, Zhuifen St., Dadu Dist., Taichung City",04-26933106,24.12051 120.57018,N
3140,造橋,Zaoqiao,造橋,Zaoqiao,苗栗縣造橋鄉造橋村平仁路 54 號,"No. 54, Pingren Rd., Zaoqiao Township, Miaoli County",037-472030,24.64186 120.86721,N
3150,豐富,Fengfu,豐富,Fengfu,苗栗縣後龍鎮校椅里高鐵一路 66 號,"No. 66, Gaotie 1st Rd., Houlong Township, Miaoli County",037-726700,24.60429 120.82637,Y
3160,苗栗,Miaoli,苗栗,Miaoli,苗栗縣苗栗市上苗里為公路 1 號,"No. 1, Weigong Rd., Miaoli City, Miaoli County",037-260031,24.57001 120.82233,Y
3170,南勢,Nanshi,南勢,Nanshi,苗栗縣苗栗市新英里南勢 39 號,"No. 39, Nanshi, Miaoli City, Miaoli County",037-260031,24.52246 120.79154,N
3180,銅鑼,Tongluo,銅鑼,Tongluo,苗栗縣銅鑼鄉銅鑼村大同路 13 號,"No. 13, Datong Rd., Tongluo Township, Miaoli County",037-983838,24.48634 120.78617,Y
3190,三義,Sanyi,三義,Sanyi,苗栗縣三義鄉雙湖村雙湖 90 號,"No. 90, Shuanghu, Sanyi Township, Miaoli County",037-874763,24.42066 120.77393,Y
3210,泰安,Tai'an,泰安,Tai'an,臺中市后里區泰安里安眉路 37 之 12 號,"No. 37-12, Anmei Rd., Houli Dist., Taichung City",04-25586540,24.33146 120.74181,N
3220,后里,Houli,后里,Houli,臺中市后里區義里里甲后路一段 1 號,"No. 1, Jiahou Rd., Houli Dist., Taichung City",04-25562038,24.30933 120.73288,Y
3230,豐原,Fengyuan,豐原,Fengyuan,臺中市豐原區豐原里中正路 1-1號,"No. 1-1, Zhongzheng Rd., Fengyuan Dist., Taichung City",04-25207950#32,24.25438 120.72374,Y
3240,栗林,Lilin,栗林,Lilin,臺中市潭子區潭豐路二段747號,"No. 747, Section 2, Tanfeng Road, Tanzi Dist., Taichung City",04-25391401,24.2346 120.7106,Y
3250,潭子,Tanzi,潭子,Tanzi,臺中市潭子區中山路二段352-1號,"No. 352-1, Sec. 2, Zhongshan Rd., Tanzi Dist., Taichung City",04-25363852,24.21214 120.70564,Y
3260,頭家厝,Toujiacuo,頭家厝,Toujiacuo,臺中市潭子區頭張東路43巷8號,"No. 8, Ln. 43, Touzhang E. Rd., Tanzi Dist., Taichung City",04-25391426,24.19572 120.70398,Y
